IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
MZ,338,158,528,MOZ-IX (Mozambique Internet Exchange Point ),Mozambique Internet Exchange,MOZIX,Maputo,Africa,2011-08-09T00:00:00Z,20020700,2016/11/22,2019-06-17T23:59:54Z,http://www.mozix.org.mz,http://www.mozix.org.mz/mrtg,
CD,204,479,628,KINIX (KINshasa Internet eXchange point),Kinshasa Internet Exchange,KINIX,Kinshasa,Africa,2012-11-20T00:00:00Z,20021100,2018/5/3,2019-06-17T22:58:15Z,http://www.ispa-drc.cd,http://www.ispa-drc.cd,
GH,92,93,694,GIX - Accra (Ghana Internet Exchange),Ghana Internet Exchange,GIXA,Accra,Africa,2013-05-15T00:00:00Z,20051018,2019/4/20,2019-05-28T06:10:32Z,http://www.gixa.org.gh,http://www.gixa.org.gh/trafficgraph.html,
TN,370,1474,1105,TunIXP (Tunisian Internet eXchange),Tunisian Internet Exchange Point,TunIXP,Tunis,Africa,2015-07-02T00:00:00Z,20110000,2015/3/5,2019-06-18T02:16:22Z,http://www.ati.tn/TunIXP/,http://webmaster@ati.tn,
MG,685,1881,1335,MGIX (Madagascar Global Internet eXchange),Madagascar Global Internet Exchange,MGIX,Antananarivo,Africa,2016-06-18T12:04:25Z,20160316,2017/1/23,2019-06-18T23:51:01Z,http://www.mgix.mg,http://www.mgix.mg/statistiques/,
MU,546,156,1508,mixp (Mauritius Internet eXchange Point),Mauritius Internet Exchange,MIXP,Ebene,Africa,2016-11-03T12:24:30Z,20051200,2019/7/15,2019-06-18T23:31:23Z,http://www.mixp.org/,http://www.mixp.org/,"['https://www.mixp.org/stats/aggregate-traffic-day.png', 'https://www.mixp.org/stats/aggregate-traffic-day.png']"
TZ,675,1912,1574,TIX Tanzania - Mwanza IXP (TIX Tanzania - Mwanza IXP),Mwanza Internet Exchange Point,TIX Tanzania - Mwanza,Mwanza,Africa,2017-01-03T13:00:29Z,20160601,2019/4/10,2019-06-17T15:35:48Z,http://www.tix.or.tz/,,"['https://stats.tix.or.tz/graphs/mixp_daily.png', 'https://stats.tix.or.tz/graphs/mixp_daily.png']"
SD,388,1312,2320,SIXP (Sudan Internet Exchange Point),Sudan Internet Exchange Point,SIXP Sudan,Khartoum,Africa,2018-08-21T14:50:46Z,20111000,2016/9/1,2019-06-12T21:24:06Z,http://www.sixp.sd,,
ZA,95,209,129,Johannesburg Internet Exchange Point (INX),Johannesburg Internet Exchange,JINX,Johannesburg,Africa,2010-07-29T00:00:00Z,19960600,2017/5/20,2019-08-06T20:01:16Z,https://www.inx.net.za,,
ZA,209,206,344,CINX - Cape Town (Cape Town Internet Exchange),Cape Town Internet Exchange,CINX,Cape Town,Africa,2010-07-29T00:00:00Z,20090700,2017/5/20,2019-06-17T14:36:24Z,https://www.inx.net.za,,
ZA,487,1362,610,Durban Internet Exchange Point (INX),Durban Internet eXchange,DINX,Durban,Africa,2012-09-24T00:00:00Z,20120914,2017/5/20,2019-08-06T20:01:13Z,https://www.inx.net.za/,,
BJ,545,1838,1017,Benin-IX (Benin Internet eXchange),Benin IX,BENIN-IX,Cotonou,Africa,2015-01-30T00:00:00Z,20131200,2019/8/7,2019-06-18T23:30:52Z,http://www.benin-ix.org.bj,,['https://benin-ix.org.bj/graphs/aggregate-day.png']
NG,60,616,488,IXPN (Internet Exchange Point of Nigeria),IXPN - Lagos,IXPN Lagos,Lagos,Africa,2011-03-03T00:00:00Z,20070500,2019/8/7,2019-06-17T14:01:25Z,http://www.ixp.net.ng,http://rt1.ixp.net.ng/mrtg/totalixpnlagos.html,['http://rt1.ixp.net.ng/mrtg/mdxi-day.png']
TZ,50,242,361,TIX - Tanzania (Tanzania Internet eXchange),TIX Tanzania - Dar es Salaam,TIX Tanzania - Dar es Salaam,Dar es Salaam,Africa,2010-07-29T00:00:00Z,20030700,2019/7/28,2019-06-18T08:34:57Z,http://tix.or.tz/,https://stats.tix.or.tz/,"['https://stats.tix.or.tz/graphs/daily.png', 'https://stats.tix.or.tz/graphs/daily.png']"
DJ,549,1929,967,DjIX (Djibouti IX),DjIX,DjIX,Djibouti,Africa,2014-11-02T00:00:00Z,20170000,2019/7/28,2019-06-18T12:15:46Z,http://www.djiboutidatacenter.com/,,['https://portal.djix.dj/grapher/ixp?id=1&type=png']
AO,531,1848,1007,angonix,ANGONIX,angonix,Luanda,Africa,2015-01-12T00:00:00Z,20150309,2019/7/28,2019-06-19T21:08:40Z,http://angonix.net/,http://angonix.net/about-angonix/statistics/,['https://ixp.angonix.net/statistics/ixp_peering-angonix-bits-day.png']
ZW,730,1993,2617,Harare IX (Harare Internet Exchange),Harare Internet Exchange,Harare IX,Harare,Africa,2019-06-16T21:58:47Z,20171107,2019/7/28,2019-06-16T21:59:31Z,http://www.hix.org.zw/,,['https://portal.hix.org.zw/grapher/ixp?id=1&type=png']
KE,49,143,236,KIXP - Nairobi,Kenya Internet Exchange Point,KIXP - Nairobi,Nairobi,Africa,2010-12-11T00:00:00Z,20010200,2019/7/28,2019-08-07T13:04:58Z,https://www.tespok.co.ke/,,['https://cacti.tespok.co.ke/cacti/graph_image.php?action=view&local_graph_id=620&rra_id=1']
ZA,351,1306,592,NAPAfrica IX Johannesburg (NAPAfrica),NAPAfrica Johannesburg,NAPAfrica IX Johannesburg,Johannesburg,Africa,2012-07-19T00:00:00Z,20120000,2019/7/28,2019-08-07T07:02:05Z,https://www.napafrica.net,https://www.napafrica.net/napafrica-traffic/,['https://ix.nap.africa/images/jb1.png']
ZA,648,1308,597,NAPAfrica IX Cape Town (NAPAfrica),NAPAfrica Cape Town,NAPAfrica IX Cape Town,Cape Town,Africa,2012-07-27T00:00:00Z,20120000,2019/7/28,2019-08-07T07:02:22Z,http://www.teraco.co.za,http://www.napafrica.net/napafrica-traffic/,['https://ix.nap.africa/images/ct1.png']
ZA,649,1840,969,NAPAfrica IX Durban (NAPAfrica),NAPAfrica Durban,NAPAfrica IX Durban,Durban,Africa,2014-11-02T00:00:00Z,20140000,2019/7/28,2019-08-07T07:02:31Z,http://www.napafrica.net/napafrica-traffic/durban-internet-exchange/,http://www.napafrica.net/napafrica-traffic/,"['https://ix.nap.africa/images/db1.png', 'https://ix.nap.africa/images/db1.png']"
RE,469,1790,381,REUNIX (Reunion Internet eXchange Point),Réunion Internet Exchange,REUNIX,Saint-Denis  La Reunion,Africa,2010-07-29T00:00:00Z,20060200,0000-00-00,2019-06-19T01:10:54Z,http://www.renater.fr/spip.php?rubrique280,,
AO,202,545,421,Angola IXP,Ponto de Intercambio Internet Angola,Angola IXP,Luanda,Africa,2010-08-18T00:00:00Z,0,0000-00-00,2019-06-19T21:07:55Z,http://www.angola-ixp.ao/,,
MW,207,1029,727,MIX (Malawi Internet Exchange),Malawi IXP,MIX-BT,Blantyre,Africa,2013-07-26T00:00:00Z,20081201,0000-00-00,2019-06-17T14:18:18Z,http://www.mispa.org.mw/,,
CI,205,1801,810,CIVIX (Cote d’Ivoire Internet eXchange Point),C??te d'Ivoire Internet Exchange Point,CIVIX,Abidjan,Africa,2013-12-06T00:00:00Z,20131003,0000-00-00,2019-06-19T00:25:49Z,http://www.civix.ci,http://stats.civix.ci/cacti/graph_view.php,
TZ,212,606,1201,AIXP (Arusha Internet eXchange),TIX Tanzania - Arusha,TIX Tanzania - Arusha,Arusha,Africa,2016-01-06T00:00:00Z,20060626,0000-00-00,2019-06-17T22:59:29Z,http://www.aixp.or.tz,,
GA,807,1887,1776,Gabon Internet eXchange (GABIX),Gabon Internet Exchange,GABIX,Libreville,Africa,2017-06-20T14:18:23Z,20140000,0000-00-00,2019-06-25T13:50:41Z,https://www.gabix.ga/,,
FI,23,69,98,FICIX - Helsinki (Finnish Communication and Internet Exchange - Helsinki),Finnish Communication and Internet Exchange Helsinki,FICIX 2 (Helsinki),Helsinki,Europe,2010-07-29T00:00:00Z,19930000,2013/3/20,2019-05-27T22:18:32Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,
EE,98,559,190,TLLIX (Tallinn Internet Exchange),Tallinn Internet Exchange (TLLIX),TLLIX,Tallinn,Europe,2010-07-29T00:00:00Z,20051100,2018/2/27,2019-05-28T06:23:02Z,http://www.tllix.net/,,
FI,46,70,328,TREX (TREX Regional Exchanges Oy),Tampere Region Exchange,TREX,Tampere,Europe,2010-07-29T00:00:00Z,20030803,2018/4/2,2019-08-07T13:04:58Z,http://www.trex.fi/,https://stats-trex.basen.com/,
AT,348,14,430,GraX (Grazer Internet Exchange ),Grazer Internet Exchange,GraX,Graz,Europe,2010-09-14T00:00:00Z,20100304,2017/4/3,2019-06-18T02:05:31Z,http://www.grax.at/,http://www.grax.at/traffic/,
LI,483,1859,543,Rheintal IX (Rheintal IX),Rheintal Internet Exchange,Rheintal IX,Eschen/LI  Feldkirch/AT  St. Gallen/CH,Europe,2011-12-06T00:00:00Z,20111027,2019/6/16,2019-06-13T22:32:01Z,http://www.rheintal-ix.net,http://www.rheintal-ix.net/traffic/,"['https://cacti.rheintal-ix.net/export/graphs/graph_82_1.png', 'https://cacti.rheintal-ix.net/export/graphs/graph_82_1.png']"
CZ,410,1758,713,Peering.cz (Commercial peering center in Prague),Peering.cz,Peering.cz,Prague  Bratislava  Vienna,Europe,2013-06-23T00:00:00Z,20121017,2018/5/1,2019-06-13T22:05:41Z,http://www.peering.cz,http://www.peering.cz/traffic,
AT,553,1896,1073,SAIX (Salzburg Internet eXchange),Salzburg Internet eXchange,SAIX,Salzburg,Europe,2015-05-20T00:00:00Z,20150515,2017/9/24,2019-06-17T15:25:18Z,https://www.saix.at/,https://www.saix.at/statistics.html,
CH,22,236,29,Equinix Zurich (Equinix Internet Exchange - Zurich),Equinix Zurich,Equinix Zurich,Zurich,Europe,2010-07-29T00:00:00Z,19990000,2008/1/13,2019-08-07T13:04:58Z,https://www.equinix.ch/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/,
DE,77,89,73,ECIX-MUC,European Commercial Internet Exchange Munich,ECIX-MUC / INXS by ecix,Munich,Europe,2010-07-29T00:00:00Z,19940600,2015/10/31,2019-06-16T23:58:56Z,https://www.ecix.net,https://www.ecix.net/infrastructure/statistics,
DE,340,82,91,ECIX-DUS,European Commercial Internet Exchange Düsseldorf,ECIX-DUS,Duesseldorf,Europe,2010-07-29T00:00:00Z,20030000,2012/1/23,2019-06-16T23:59:22Z,https://www.ecix.net/,https://www.ecix.net/infrastructure/statistics,
DE,78,556,123,KleyReX (KleyReX),KleyReX Internet Exchange,KleyReX,Frankfurt,Europe,2010-07-29T00:00:00Z,20020900,2011/2/1,2019-08-06T17:01:39Z,http://www.kleyrex.net/,http://www.kleyrex.net/stats.html,
DE,139,705,212,BW-IX Stuttgart (Baden-Württemberg Internet Exchange Stuttgart),Stuttgarter Internet Exchange,BW-IX Stuttgart / S-IX,Stuttgart,Europe,2010-07-29T00:00:00Z,20050400,2019/4/18,2019-06-17T20:11:26Z,http://www.s-ix.info/,,
DK,29,56,78,DIX,Danish Internet Exchange,DIX,Copenhagen,Europe,2010-07-29T00:00:00Z,19940500,2017/2/22,2019-06-19T21:27:13Z,http://www.dix.dk/,http://www.dix.dk/,
ES,11,211,62,CATNIX (Catalunya Neutral Internet eXchange),Catalunya Neutral Internet Exchange Point,CATNIX,Barcelona,Europe,2010-07-29T00:00:00Z,19990407,2019/6/10,2019-08-07T13:04:58Z,http://www.catnix.net,http://www.catnix.net/en/statistics/,"['http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1', 'http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1']"
FR,302,712,148,EuroGIX (European Global Internet eXchange),EuroGIX,EuroGIX,Strasbourg,Europe,2010-07-29T00:00:00Z,20020304,2017/1/14,2019-06-17T23:57:38Z,http://www.eurogix.org/,,
NL,146,803,313,R-iX (Rotterdam Internet eXchange),Rotterdam Internet eXchange,R_iX,Rotterdam,Europe,2010-07-29T00:00:00Z,20070000,2018/2/28,2019-06-17T14:11:12Z,https://www.r-ix.nl,https://www.r-ix.nl/#Traffic,
PL,85,185,96,WIX - Poland (Warsaw Internet eXchange),Warsaw Internet Exchange,WIX,Warsaw,Europe,2010-07-29T00:00:00Z,19960000,2009/12/15,2019-06-17T06:49:00Z,http://www.wix.net.pl/,http://www.wix.net.pl/vxb/w/index.asp?statystyki_x=statystyki,
PL,36,509,264,Equinix WA IX (Equinix Warsaw),Equinix IX Warsaw (ex-PLIX),Equinix Warsaw (PLIX),Warsaw,Europe,2010-07-29T00:00:00Z,20060402,2018/11/2,2019-08-07T13:04:58Z,http://www.plix.pl/,http://www.plix.pl/en/network/statistic,
PL,346,918,481,Thinx (Thinx),Thinx Poland,Thinx,Warsaw,Europe,2011-02-06T00:00:00Z,20060000,2019/6/30,2019-06-17T14:27:00Z,http://www.atman.pl,https://portal.atman.pl/stats/acx.jsf,
RO,16,189,301,RoNIX (Romanian Network for Internet eXchange),Romanian National Internet Exchange,RoNIX,Bucharest,Europe,2010-07-29T00:00:00Z,20010907,2019/2/3,2019-05-27T22:16:54Z,https://anisp.ro/,https://ronix.ro/,
RU,13,191,100,msk-ix (MSK-IX public peering VLAN),MSK-IX Moscow,MSK-IX Moscow,Moscow,Europe,2010-07-29T00:00:00Z,19951125,2016/6/6,2019-08-07T13:04:58Z,http://www.msk-ix.ru/en,http://www.msk-ix.ru/en/traffic,
RU,87,195,107,spb-ix (SPB-IX public peering VLAN),MSK-IX St. Petersburg,MSK-IX Saint-Petersburg,St.Petersburg,Europe,2010-07-29T00:00:00Z,20090000,2016/6/6,2019-07-04T14:10:04Z,http://www.msk-ix.ru/en/ix/spb,http://www.msk-ix.ru/en/traffic/,
RU,88,193,379,smr-ix (SMR-IX public peering VLAN),MSK-IX Samara,MSK-IX Samara,Samara,Europe,2010-07-29T00:00:00Z,20090000,2014/8/20,2019-08-07T10:01:27Z,http://www.msk-ix.ru/en/ix/smr,http://www.msk-ix.ru/en/traffic,
RU,178,1046,380,rnd-ix (RND-IX public peering VLAN),MSK-IX Rostov-on-Don,MSK-IX Rostov-on-Don,Rostov-on-Don,Europe,2010-07-29T00:00:00Z,20090000,2014/8/20,2019-08-07T10:01:26Z,http://www.msk-ix.ru/en/ix/rnd,http://www.msk-ix.ru/en/traffic/,
RU,275,1223,398,kzn-ix (KZN-IX public peering VLAN),MSK-IX Kazan,MSK-IX Kazan,Kazan,Europe,2010-07-29T00:00:00Z,20100500,2013/12/9,2019-08-07T10:01:04Z,http://www.msk-ix.ru/en/ix/kzn,http://www.msk-ix.ru/en/traffic/,
RU,293,1864,512,PIRIX (PIRIX Internet Exchange),PIRIX,PIRIX,St.Petersburg,Europe,2011-05-12T00:00:00Z,20080000,2018/6/29,2019-06-17T23:56:22Z,http://www.pirix.ru,http://pirix.ru/statistics/,
RU,384,195,580,stw-ix (STW-IX public peering VLAN),MSK-IX St. Petersburg,MSK-IX Stavropol,Stavropol,Europe,2012-05-23T00:00:00Z,20090000,2016/6/6,2019-08-07T10:01:28Z,http://www.msk-ix.ru/en/ix/stw,http://www.msk-ix.ru/en/traffic,
RU,678,1987,1242,W-IX (W-IX),W-IX,W-IX,Moscow,Europe,2016-03-18T10:53:09Z,20081225,2017/9/27,2019-06-18T23:49:17Z,http://www.w-ix.ru,https://www.w-ix.ru/i/w-ix-g.png,
SK,89,204,84,SIX Bratislava (Slovak Internet eXchange Bratislava),Slovak Internet eXchange Bratislava,SIX.SK,Bratislava,Europe,2010-07-29T00:00:00Z,19961000,2019/8/7,2019-07-30T14:01:23Z,http://www.six.sk,http://www.six.sk/stats,['https://www.six.sk/stats/aggregated-day.png']
IS,33,100,228,RIX (Reykjavik Internet Exchange),Reykjavik Internet Exchange,RIX,Reykjavik,Europe,2010-07-29T00:00:00Z,19990000,2019/8/7,2019-05-28T06:07:27Z,https://www.rix.is/,https://www.rix.is/english/statistics.html,"['https://www.rix.is/status/rix/galag/galag-day.png', 'https://www.rix.is/status/rix/galag/galag-day.png']"
