IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments (For IXP_Url_Stats; if the PCH_url is used; there will be an *),Date_check_Stats (For IXP_Url_Stats)
BR,156,21,174,Curitiba (PR) (IX.br - Curitiba (PR)),Ponto de Troca de Tr¨¢fego do Paran¨¢,IX.br (PTT.br) Curitiba,Curitiba/PR,South America,2010-12-11T00:00:00Z,20020600,2017/11/9,2019-06-17T20:20:19Z,http://ix.br,http://ix.br/trafego/agregado/pr,,OK,2019/7/11
BR,157,22,175,Florian¨®polis (SC) (IX.br - Florian¨®polis (SC)),Ponto de Troca de Tr¨¢fego do Florian¨®polis,IX.br (PTT.br) Florian¨®polis,Florian¨®polis/SC,South America,2010-12-11T00:00:00Z,20080000,2019/7/28,2019-06-17T20:22:48Z,http://ix.br,http://ix.br/trafego/agregado/sc,['http://old.ix.br/stats/be779630c4bfd20baffc23b9b9a513ac/sc/images/pix/agregado_bps-daily.png'],OK,2019/7/11
BR,154,19,176,Belo Horizonte (MG) (IX.br - Belo Horizonte (MG)),Ponto de Troca de Tr¨¢fego do Belo Horizonte,IX.br (PTT.br) Belo Horizonte,Belo Horizonte/MG,South America,2010-12-11T00:00:00Z,20100100,2019/7/28,2019-06-17T06:54:32Z,http://ix.br,http://ix.br/trafego/agregado/mg,['http://old.ix.br/stats/bbaec3801638d06029a23d912c2a2e3c/mg/images/pix/agregado_bps-daily.png'],OK,2019/7/11
BR,159,415,177,Rio de Janeiro (RJ) (IX.br - Rio de Janeiro (RJ)),Ponto de Troca de Tr¨¢fego do Rio de Janeiro,IX.br (PTT.br) Rio de Janeiro,Rio de Janeiro/RJ,South America,2010-12-11T00:00:00Z,20100000,2019/7/28,2019-06-17T20:23:47Z,http://ix.br/,http://ix.br/trafego/agregado/rj,"['http://old.ix.br/stats/b7fb718114f447c323641f962a7be869/rj/images/pix/agregado_bps-daily.png', 'http://old.ix.br/images/pix/agregado-bps6_bps-daily1_rj.png', 'http://old.ix.br/stats/b7fb718114f447c323641f962a7be869/rj/images/pix/agregado_bps-daily.png', 'http://old.ix.br/images/pix/agregado-bps6_bps-daily1_rj.png']",OK,2019/7/11
BR,155,20,178,Bras¨ªlia (DF) (IX.br -  Bras¨ªlia (DF)),Ponto de Troca de Tr¨¢fego do Bras¨ªlia,IX.br (PTT.br) Bras¨ªlia,Bras¨ªlia/DF,South America,2010-12-11T00:00:00Z,20090000,2019/7/28,2019-06-17T14:14:51Z,http://ix.br,http://ix.br/trafego/agregado/df,['http://old.ix.br/stats/297842eef685fa1b41fa156842cdf32c/df/images/pix/agregado_bps-daily.png'],OK,2019/7/11
UA,48,,184,UA-IX (Ukrainian Internet Exchange),,UA-IX,Kiev,Europe,2010-07-29T00:00:00Z,,,2019-06-16T23:25:57Z,http://www.ua-ix.net.ua/en,http://www.ix.net.ua/pro-kompaniyu/statystyka,,OK,2019/7/11
SE,100,222,192,Netnod - Gothenburg (Netnod - Gothenburg),Netnod Gothenburg,Netnod Gothenburg,Gothenburg,Europe,2010-07-29T00:00:00Z,19980000,2019/7/28,2019-05-28T06:25:17Z,http://www.netnod.se,http://www.netnod.se/ix/statistics/,"['https://www.netnod.se/ix-stats/sums/Gothenburg_day_sum.png', None]",OK,2019/7/11
DK,294,,193,Netnod Copenhagen,,Netnod Copenhagen,Malmo / Copenhagen,Europe,2010-07-29T00:00:00Z,,,2019-06-19T01:18:52Z,http://www.netnod.se,http://www.netnod.se/ix/statistics/,,OK,2019/7/11
SE,102,229,194,Netnod - Sundsvall (Netnod - Sundsvall),Netnod Sundsvall,Netnod Sundsvall,Sundsvall,Europe,2010-07-29T00:00:00Z,20000000,2019/7/28,2019-05-28T06:29:00Z,http://www.netnod.se,http://www.netnod.se/ix/statistics/,"['https://www.netnod.se/ix-stats/sums/Sundsvall_GEB_day_sum.png', 'https://www.netnod.se/ix-stats/sums/Sundsvall_GEB_day_sum.png']",OK,2019/7/11
DE,30,81,209,ECIX-BER,European Commercial Internet Exchange Berlin,ECIX-BER,Berlin,Europe,2010-07-29T00:00:00Z,20030000,0000-00-00,2019-06-16T23:58:28Z,https://www.ecix.net/,https://www.ecix.net/infrastructure/statistics,,OK (should click the link),2019/7/11
ID,111,,210,IIX Jakarta,,IIX-Jakarta,Jakarta,Asia Pacific,2010-07-29T00:00:00Z,,,2019-05-28T13:43:16Z,http://www.iix.net.id,http://mrtg.iix.net.id,,OK (should click the link),2019/7/11
RU,86,192,223,nsk-ix (NSK-IX public peering VLAN),MSK-IX Novosibirsk,MSK-IX Novosibirsk,Novosibirsk,Asia Pacific,2010-07-29T00:00:00Z,20040000,2016/6/6,2019-07-04T14:08:28Z,http://www.msk-ix.ru/en/ix/nsk,http://www.msk-ix.ru/en/traffic,,OK,2019/7/11
IS,33,100,228,RIX (Reykjavik Internet Exchange),Reykjavik Internet Exchange,RIX,Reykjavik,Europe,2010-07-29T00:00:00Z,19990000,2019/8/7,2019-05-28T06:07:27Z,https://www.rix.is/,https://www.rix.is/english/statistics.html,"['https://www.rix.is/status/rix/galag/galag-day.png', 'https://www.rix.is/status/rix/galag/galag-day.png']",OK,2019/7/11
PL,151,,230,PIX (Poznan Internet Exchange),,POZIX,Poznan,Europe,2010-07-29T00:00:00Z,,,2019-06-17T20:18:05Z,http://www.pozix.pl/,https://www.pozix.pl/#statystyki,,OK,2019/7/11
SE,106,879,231,IXOR (Internet eXchange point of the Oresund Region),Internet exchange point of the Oresund Region,MalmIX Malmo / IXOR,Malm??,Europe,2010-07-29T00:00:00Z,20091014,0000-00-00,2019-05-28T16:22:22Z,http://www.ixor.se,http://www.ixor.se/statistics/,,Not OK (404 Page not found),2019/7/11
KE,49,143,236,KIXP - Nairobi,Kenya Internet Exchange Point,KIXP - Nairobi,Nairobi,Africa,2010-12-11T00:00:00Z,20010200,2019/7/28,2019-08-07T13:04:58Z,https://www.tespok.co.ke/,,['https://cacti.tespok.co.ke/cacti/graph_image.php?action=view&local_graph_id=620&rra_id=1'],*Not OK (ERR_CERT_DATE_INVALID),2019/8/8
US,149,1883,239,ChIX (Chicago Internet eXchange),United IX Chicago,ChIX,Chicago,North America,2010-07-29T00:00:00Z,20140000,0000-00-00,2019-06-17T20:17:14Z,https://unitedix.net/location/chicago,https://unitedix.net/location/chicago/networks,,OK,2019/7/11
NP,53,,241,NPIX Putalisadak (Internet Exchange Nepal),,npIX PTS,Kathmandu,Asia Pacific,2010-07-29T00:00:00Z,,,2019-07-17T05:01:20Z,http://www.npix.net.np/,http://www.npix.net.np/graph,,OK,2019/7/11
DE,54,1271,248,DE-CIX MUC (DE-CIX Munich),DE-CIX Munich,DE-CIX Munich,Munich,Europe,2010-07-29T00:00:00Z,20100400,2019/7/28,2019-08-06T12:02:20Z,https://muc.de-cix.net,https://www.de-cix.net/locations/germany/munich/statistics,"['https://www.de-cix.net/traffic_MUC-2days-1170-400.png', 'https://www.de-cix.net/traffic_MUC-2days-1170-400.png']",OK,2019/7/11
