IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name,IXP_City,IXP_region_continent,Date_Creation_IXP,IXP_Website,IXP_Url_Stats,URL_stats_comments,Date_check_Stats
BR,376,1441,558,IX.br (PTT.br) Caxias do Sul,Caxias do Sul/RS,South America,2012-01-24T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/cxj,OK,2019/7/11
SK,167,1521,559,SIX.SK Ko??ice,Ko??ice,Europe,2012-01-30T00:00:00Z,http://www.six.sk,http://www.six.sk/statske,OK,2019/7/11
JP,119,125,564,JPIX OSAKA,Osaka,Asia Pacific,2012-02-02T00:00:00Z,https://www.jpix.ad.jp/en/,https://www.jpix.ad.jp/en/technical_traffic.php,OK,2019/7/11
BR,284,0,575,IX.br (PTT.br) Goi??nia,Goi??nia/GO,South America,2012-03-25T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/gyn,OK,2019/7/11
AU,392,1472,576,IX Australia QLD,Brisbane/Queensland,Australia,2012-03-22T00:00:00Z,http://www.ix.asn.au,https://metrics.ix.asn.au,OK (Grafana home page linked to IX aggregates Overview and Peers),2019/7/11
HK,356,1319,577,AMS-IX Hong Kong,Hong Kong,Asia Pacific,2012-03-28T00:00:00Z,http://www.ams-ix.hk,http://www.ams-ix.hk/total-traffic-statistics,Not OK (traffic data graphs available at https://www.ams-ix.net/hk/documentation/total-stats),2019/7/11
RU,384,1384,580,MSK-IX Stavropol,Stavropol,Europe,2012-05-23T00:00:00Z,http://www.msk-ix.ru/en/ix/stw,http://www.msk-ix.ru/en/traffic,OK,2019/7/11
NO,192,1507,582,BIX Bergen,Bergen,Europe,2012-05-24T00:00:00Z,https://www.nix.no/,https://www.nix.no/statistics/,OK,2019/7/11
GB,349,1332,583,LINX Manchester,Manchester,Europe,2012-06-02T00:00:00Z,http://www.linx.net,http://portal.linx.net,OK,2019/7/11
AE,373,1341,587,UAE-IX,Dubai,Middle East,2012-06-12T00:00:00Z,http://www.uae-ix.net,http://www.uae-ix.net/about-uae-ix/statistics/,OK,2019/7/11
ZA,351,0,592,NAPAfrica IX Johannesburg,Johannesburg,Africa,2012-07-19T00:00:00Z,https://www.napafrica.net,https://www.napafrica.net/napafrica-traffic/,Not OK (404 Page not found but traffic data graphs available at https://www.napafrica.net/peering-traffic/),2019/7/11
ZA,648,0,597,NAPAfrica IX Cape Town,Cape Town,Africa,2012-07-27T00:00:00Z,http://www.teraco.co.za,http://www.napafrica.net/napafrica-traffic/,Not OK (404 Page not found but traffic data graphs available at https://www.napafrica.net/peering-traffic/),2019/7/11
BR,283,1275,603,IX.br (PTT.br) Campina Grande,Campina Grande/PB,South America,2012-07-30T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/cpv,OK,2019/7/11
US,423,0,627,SNAP,Atlanta,North America,2012-11-20T00:00:00Z,http://www.southeastnap.com/,http://www.southeastnap.com/about_us/statistics/,Not OK (Coming soon),2019/7/11
CD,204,479,628,KINIX,Kinshasa,Africa,2012-11-20T00:00:00Z,http://www.ispa-drc.cd,http://www.ispa-drc.cd,Not OK (No graph),2019/7/11
BR,289,1444,638,IX.br (PTT.br) S??o Jos¨¦ dos Campos,Sao Jos¨¦ dos Campos/SP,South America,2012-12-17T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/sjc,OK,2019/7/11
CA,398,1461,639,YYCIX,Calgary,North America,2013-01-02T00:00:00Z,http://yycix.ca,http://yycix.ca/graphs.html,OK,2019/7/11
UA,165,1588,655,GigaNET,Kiev,Europe,2013-02-24T00:00:00Z,http://giganet.ua/en,http://giganet.ua/en/statistics,OK,2019/7/11
US,268,1484,662,Phoenix IX,Phoenix,North America,2013-03-12T00:00:00Z,http://www.phoenix-ix.net,http://phoenix-ix.net/traffic.html,Not OK (No graph),2019/7/11
DE,431,1663,676,ECIX-FRA,Frankfurt,Europe,2013-04-09T00:00:00Z,https://www.ecix.net,https://www.ecix.net/infrastructure/statistics,OK (should click the link),2019/7/11
RU,493,0,683,YAR-IX,Yaroslavl,Europe,2013-05-02T00:00:00Z,http://yar-ix.net,http://yar-ix.net/network/stat/,OK,2019/7/11
AU,391,1473,691,IX Australia SA,Adelaide,Australia,2013-05-02T00:00:00Z,http://www.ix.asn.au,https://metrics.ix.asn.au,OK (Grafana home page linked to IX aggregates Overview and Peers),2019/7/11
GH,92,93,694,GIXA,Accra,Africa,2013-05-15T00:00:00Z,http://www.gixa.org.gh,http://www.gixa.org.gh/trafficgraph.html,Not OK (404 Page not found but traffic data graphs available at http://www.gixa.org.gh/technical/statistics/),2019/7/11
BG,413,1623,699,NetIX,Sofia,Europe,2013-05-26T00:00:00Z,http://www.netix.net,http://212.73.140.125/summary/,Not OK (ERR_CERT_COMMON_NAME_INVALID),2019/7/11
CA,399,1316,703,MBIX,Winnipeg  Manitoba,North America,2013-06-01T00:00:00Z,http://www.mbix.ca/,http://www.mbix.ca/statistics/,OK,2019/7/11
BR,264,1200,705,IX.br (PTT.br) Recife,Recife/PE,South America,2013-06-15T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/pe,OK,2019/7/11
BR,377,1446,706,IX.br (PTT.br) Vit¨®ria,Vit¨®ria/ES,South America,2013-06-15T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/vix,OK,2019/7/11
BR,375,1442,707,IX.br (PTT.br) Manaus,Manaus/AM,South America,2013-06-15T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/mao,OK,2019/7/11
BR,379,1443,708,IX.br (PTT.br) Natal,Natal/RN,South America,2013-06-15T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/nat,OK,2019/7/11
BR,374,1445,709,IX.br (PTT.br) S??o Jos¨¦ do Rio Preto,S??o Jos¨¦ do Rio Preto/SP,South America,2013-06-15T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/sjp,OK,2019/7/11
BR,263,1089,710,IX.br (PTT.br) Fortaleza,Fortaleza/CE,South America,2013-06-16T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/ce,OK,2019/7/11
BR,378,1440,711,IX.br (PTT.br) Bel¨¦m,Bel¨¦m/PA,South America,2013-06-16T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/bel,OK,2019/7/11
CZ,410,1758,713,Peering.cz,Prague  Bratislava  Vienna,Europe,2013-06-23T00:00:00Z,http://www.peering.cz,http://www.peering.cz/traffic,Not OK (traffic data graphs available at https://www.peering.cz/statistics),2019/7/11
AU,394,1585,716,IX Australia NSW,Sydney/NSW,Australia,2013-06-25T00:00:00Z,http://www.ix.asn.au,https://metrics.ix.asn.au,OK (Grafana home page linked to IX aggregates Overview and Peers),2019/7/11
GB,409,1701,745,LINX Scotland,Scotland,Europe,2013-08-20T00:00:00Z,http://www.linx.net,http://portal.linx.net,OK,2019/7/11
CA,386,0,776,WPGIX,Winnipeg,North America,2013-10-06T00:00:00Z,http://wpgix.net/,http://wpgix.net/ix-daily.png,Not OK (Connection refused),2019/7/25
US,426,1678,777,LINX NoVA,Northern Virginia,North America,2013-10-10T00:00:00Z,https://www.linx.net/linx-nova,https://stats.linx.net/lans#nva1,Not OK (404 Page not found),2019/7/25
AU,563,0,779,MegaIX Melbourne,Melbourne,Australia,2013-10-25T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
AU,570,0,780,MegaIX Sydney,Sydney,Australia,2013-10-25T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
AU,606,0,781,MegaIX Brisbane,Brisbane,Australia,2013-10-25T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
BR,497,1808,790,IX.br (PTT.br) Lajeado,Lajeado/RS,South America,2013-10-22T00:00:00Z,http://ix.br/,http://ix.br/trafego/agregado/laj,OK,2019/7/25
DE,404,0,796,BREM-IX,Bremen,Europe,2013-11-02T00:00:00Z,http://www.brem-ix.net/,http://www.brem-ix.net/traffic,Not OK (ERR_CERT_DATE_INVALID),2019/7/25
US,425,1778,804,DE-CIX New York,New York,North America,2013-11-13T00:00:00Z,https://www.de-cix.net/locations/united-states/new-york,https://www.de-cix.net/locations/united-states/new-york/statistics,OK,2019/7/25
CI,205,1801,810,CIVIX,Abidjan,Africa,2013-12-06T00:00:00Z,http://www.civix.ci,http://stats.civix.ci/cacti/graph_view.php,OK (username: civix  password: civix),2019/7/25
BR,498,1833,818,IX.br (PTT.br) Maring¨¢,Maring¨¢/PR,South America,2014-01-08T00:00:00Z,http://ix.br/,http://ix.br/trafego/agregado/mgf,OK,2019/7/25
TW,185,237,823,TPIX-TW,Taipei/Taiwan,Asia Pacific,2014-01-26T00:00:00Z,http://www.tpix.net.tw/,http://www.tpix.net.tw/traffic.html,OK,2019/7/25
IN,634,0,832,Mumbai IX,Mumbai,Asia Pacific,2014-02-19T00:00:00Z,https://www.mumbai-ix.net,https://www.mumbai-ix.net/en/graph,OK (last updated: 2019/6/25),2019/7/25
AM,372,1499,851,ArmIX,Yerevan,Europe,2014-04-06T00:00:00Z,http://armix.am,http://mrtg.armix.am/mrtg1/,OK (should click the figure first),2019/7/25
BR,500,1807,859,IX.br (PTT.br) Cuiab¨¢,Cuiab¨¢/MT,South America,2014-04-25T00:00:00Z,http://ix.br,http://ix.br/trafego/agregado/cgb,OK,2019/7/25
CZ,588,0,864,BR-IX,Brno,Europe,2014-05-05T00:00:00Z,http://www.br-ix.cz,http://br-ix.cz/stats.png,OK (just one single png graph),2019/7/25
RU,141,0,876,RED-IX,Krasnoyarsk,Europe,2014-06-16T00:00:00Z,http://webra.ru,http://www.red-ix.ru/members/statistics,OK,2019/7/25
FR,434,1656,880,France-IX Marseille,Marseille,Europe,2014-06-16T00:00:00Z,https://www.franceix.net/en/france-ix-marseille/,https://tools.franceix.net/pops,OK,2019/7/25
NA,None,1784,922,IXP Namibia,Windhoek,Africa,2014-08-26T00:00:00Z,http://dev.ixp.org.na/,http://dev.ixp.org.na/graphs/,Not OK (Account has been suspended),2019/7/25
US,635,0,938,TahoeIX,Northern Nevada,North America,2014-09-29T00:00:00Z,http://www.tahoeix.org,http://www.tahoeix.org#stats,OK,2019/7/25
TT,536,0,940,TTIX,Barataria,South America,2014-09-29T00:00:00Z,https://ix.tt,https://ix.tt/statistics,OK (Only graphs for TTIX2 Sourthern IXP   no graphs for TTIX Northern IXP),2019/7/25
US,533,0,944,AMS-IX Chicago,Chicago,North America,2014-09-29T00:00:00Z,https://chi.ams-ix.net,https://chi.ams-ix.net/statistics,Not OK (traffic graphs available at https://www.ams-ix.net/chi/documentation/total-stats),2019/7/25
US,543,0,954,FL-IX,Miami,North America,2014-10-08T00:00:00Z,http://www.communityix.org/index.php/about-fl-ix/,https://my.fl-ix.net/ixp_peering-flix-agg-bits-month.png,OK (just one single png graph),2019/7/25
SG,574,0,965,MegaIX Singapore,Singapore,Asia Pacific,2014-10-23T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
ZA,649,0,969,NAPAfrica IX Durban,Durban,Africa,2014-11-02T00:00:00Z,http://www.napafrica.net/napafrica-traffic/durban-internet-exchange/,http://www.napafrica.net/napafrica-traffic/,Not OK (404 Page not found),2019/7/25
AU,323,0,976,IX Australia ACT,Canberra/ACT,Australia,2014-11-05T00:00:00Z,http://www.ix.asn.au,https://metrics.ix.asn.au,OK (Grafana home page linked to IX aggregates  Overview and Peers),2019/7/25
NZ,586,0,977,AKL-IX,Auckland,Australia,2014-11-05T00:00:00Z,http://www.ix.nz,https://metrics.ix.nz/,OK (Grafana home page linked to IX aggregates Overview and Peers),2019/7/25
NZ,572,0,984,MegaIX Auckland,Auckland,Australia,2014-11-26T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
US,662,0,1006,DET-IX,Detroit,North America,2015-01-12T00:00:00Z,http://www.detroitix.com,http://stats.detroitix.com,Not OK (Need to login),2019/7/25
AO,531,0,1007,angonix,Luanda,Africa,2015-01-12T00:00:00Z,http://angonix.net/,http://angonix.net/about-angonix/statistics/,OK,2019/7/25
AT,663,0,1009,Tirol-IX,Innsbruck/Tirol,Europe,2015-01-13T00:00:00Z,http://tirol-ix.at/,http://tirol-ix.at/,Not OK (name not resolved),2019/7/25
GB,544,0,1016,LINX Cardiff,Cardiff,Europe,2015-01-30T00:00:00Z,https://www.linx.net/,http://portal.linx.net,OK,2019/7/25
FR,564,0,1019,AuvernIX,Clermont-Ferrand,Europe,2015-01-30T00:00:00Z,http://www.auvernix.org,http://www.auvernix.org/nos-outils/,OK,2019/7/25
CR,541,0,1023,CRIX,San Jose,North America,2015-02-07T00:00:00Z,https://www.crix.cr/,https://www.crix.cr/estadisticas,OK,2019/7/25
TH,587,0,1025,BKNIX,Bangkok,Asia Pacific,2015-02-16T00:00:00Z,https://bknix.co.th,https://bknix.co.th/en/statistics,OK,2019/7/25
RW,295,0,1032,RINEX,Kigali,Africa,2015-03-02T00:00:00Z,http://www.rinex.org.rw,http://rinex.org.rw/spip.php?page=aggregate_traffic,OK,2019/7/25
BG,731,0,1056,MegaIX Sofia,Sofia,Europe,2015-04-06T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
AT,553,0,1073,SAIX,Salzburg,Europe,2015-05-20T00:00:00Z,https://www.saix.at/,https://www.saix.at/statistics.html,OK,2019/7/25
US,665,0,1086,MASS-IX,Boston,North America,2015-05-12T00:00:00Z,http://www.mass-ix.net,http://www.mass-ix.net/peering.html#stats,OK,2019/7/25
CH,632,0,1094,GE-CIX,Zurich,Europe,2015-07-02T00:00:00Z,http://www.ge-cix.net/,http://www.ge-cix.net/get-connected/asns/,Not OK (No graph),2019/7/25
TN,370,0,1105,TunIXP,Tunis,Africa,2015-07-02T00:00:00Z,http://www.ati.tn/TunIXP/,http://webmaster@ati.tn,Not OK (Coming soon),2019/7/25
IT,558,0,1131,DE-CIX Palermo,Palermo,Europe,2015-08-26T00:00:00Z,https://pmo.de-cix.net,https://www.de-cix.net/en/locations/italy/palermo/statistics,OK,2019/7/25
ES,667,0,1146,ESPANIX Madrid Upper LAN,Madrid,Europe,2015-10-01T00:00:00Z,http://www.espanix.net,http://stats.espanix.net/,OK,2019/7/25
FR,559,0,1149,DE-CIX Marseille,Marseille,Europe,2015-10-09T00:00:00Z,https://mrs.de-cix.net,https://www.de-cix.net/locations/france/marseille/statistics,OK,2019/7/25
TR,560,0,1150,DE-CIX Istanbul,Istanbul,Europe,2015-10-09T00:00:00Z,https://www.de-cix.net/locations/turkey/istanbul,https://www.de-cix.net/locations/turkey/istanbul/statistics,OK,2019/7/25
RU,668,0,1154,SFO-IX,Barnaul  Novosibirsk,Europe,2015-10-22T00:00:00Z,http://www.milecom.ru,http://sfo-ix.ru/statistika.html,OK,2019/7/25
ES,724,0,1160,NIXVAL-ix,Valencia,Europe,2015-11-02T00:00:00Z,https://www.nixval.com/en/internet-exchange/,https://www.nixval.com/internet-exchange/#1461682919055-d347c803-0192,Not OK (No graph),2019/7/25
CA,669,0,1169,YEGIX,Edmonton,North America,2015-11-02T00:00:00Z,http://www.yegix.ca/,http://www.yegix.ca/,Not OK (No graph),2019/7/25
CN,582,0,1172,CHN-IX Beijing,Beijing,Asia Pacific,2015-12-01T00:00:00Z,http://www.chn-ix.net,http://chn-ix.net/serviceability.html,OK,2019/7/25
US,613,0,1174,MegaIX Seattle,Seattle,North America,2015-12-08T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
US,611,0,1175,MegaIX Los Angeles,Los Angeles,North America,2015-12-08T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
US,610,0,1180,MegaIX Dallas,Dallas,North America,2015-12-08T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
US,650,0,1207,IX-Denver,Denver,North America,2016-01-10T00:00:00Z,https://ix-denver.org,https://portal.ix-denver.org/statistics/ixp,OK,2019/7/25
KH,432,0,1209,CNX,Phnom Penh,Asia Pacific,2016-01-13T00:00:00Z,http://cnx.net.kh,http://cnx.net.kh/traffic/,OK,2019/7/25
DE,565,0,1214,DE-CIX Dusseldorf,D¨¹sseldorf,Europe,2016-01-28T00:00:00Z,https://www.de-cix.net/locations/germany/dusseldorf,https://dus.de-cix.net,Not OK (No graph),2019/7/25
AU,607,0,1235,MegaIX Perth,Perth,Australia,2016-02-27T00:00:00Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
RU,678,0,1242,W-IX,Moscow,Europe,2016-03-18T10:53:09Z,http://www.w-ix.ru,https://www.w-ix.ru/i/w-ix-g.png,OK (just one single png graph),2019/7/25
US,580,0,1249,DE-CIX Dallas,Dallas,North America,2016-03-22T15:29:10Z,https://www.de-cix.net/en/locations/united-states/dallas,https://www.de-cix.net/locations/united-states/dallas/statistics,OK,2019/7/25
BR,616,0,1276,IX.br (PTT.br) Foz do Igua??u,Foz do Igua??u/PR,South America,2016-04-13T10:59:21Z,http://ix.br/,http://ix.br/trafego/agregado/igu,OK,2019/7/25
ES,470,0,1277,DE-CIX Madrid,Madrid,Europe,2016-04-13T14:11:26Z,https://mad.de-cix.net,https://www.de-cix.net/locations/spain/madrid/statistics,OK,2019/7/25
US,679,0,1285,SIX Seattle (Jumbo),Seattle,North America,2016-04-21T14:40:58Z,https://www.seattleix.net/,https://www.seattleix.net/statistics/,OK,2019/7/25
CA,575,0,1307,MegaIX Toronto,Toronto,North America,2016-05-12T14:56:25Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,OK (Main page that has links to all the traffic graph of several IXPs),2019/7/25
NL,681,0,1308,LSIX,The Hague,Europe,2016-05-12T17:46:39Z,https://lsix.net,https://my.lsix.net,Not OK (traffic graph available at https://my.lsix.net/statistics/ixp),2019/7/25
IN,117,0,1317,NIXI Kolkata,Kolkata,Asia Pacific,2016-05-21T14:58:57Z,http://nixi.in,http://nixi.in,Not OK (name not resolved),2019/7/25
FR,None,0,1320,Hopus,Paris  Lyon  Marseille  Geneva  Amsterdam  Frankfurt,Europe,2016-05-25T11:26:20Z,https://hopus.net,https://hopus.net/stats,OK,2019/7/25
DE,747,0,1329,Community-IX,Berlin,Europe,2016-06-06T08:54:17Z,http://www.community-ix.de/,https://www.community-ix.de/technik/,OK,2019/7/25
FI,171,0,1332,FICIX 1 (Espoo),Espoo,Europe,2016-06-14T22:19:37Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,OK,2019/7/25
MG,685,0,1335,MGIX,Antananarivo,Africa,2016-06-18T12:04:25Z,http://www.mgix.mg,http://www.mgix.mg/statistiques/,OK,2019/7/25
CN,None,0,1375,CHN-IX Shanghai,Shanghai,Asia Pacific,2016-07-19T07:29:03Z,http://www.chn-ix.net,https://stats.chn-ix.net/index.html,Not OK (ERR_CERT_REVOKED),2019/7/25
NO,199,0,1418,TIX Troms??,Troms??,Europe,2016-08-22T23:28:39Z,https://www.nix.no,https://www.nix.no/statistics/,OK,2019/7/25
NO,200,0,1419,SIX Stavanger,Stavanger,Europe,2016-08-22T23:30:20Z,https://www.nix.no,https://www.nix.no/statistics/,OK,2019/7/25
NO,193,0,1420,TRDIX Trondheim,Trondheim,Europe,2016-08-22T23:33:31Z,https://www.nix.no,https://www.nix.no/statistics/,OK,2019/7/25
FR,527,0,1428,GrenoblIX,Grenoble,Europe,2016-09-06T12:26:33Z,http://grenoblix.net/,https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_grenoblix/grenoblix.html,OK,2019/7/25
FI,440,0,1464,Equinix Helsinki,Helsinki,Europe,2016-09-30T18:22:54Z,https://www.equinix.fi/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/,Not OK (No graph),2019/7/25
AR,626,0,1481,CABASE-SLU - IX Argentina (San Luis),San Luis,South America,2016-10-14T18:14:52Z,http://www.cabase.org.ar,http://www.cabase.org.ar,Not OK (No graph),2019/7/25
AR,795,0,1484,CABASE-NGB - IX Argentina (Pilar),Pilar,South America,2016-10-14T18:16:58Z,http://www.cabase.org.ar,http://www.cabase.org.ar,Not OK (No graph),2019/7/25
MU,546,0,1508,MIXP,Ebene,Africa,2016-11-03T12:24:30Z,http://www.mixp.org/,http://www.mixp.org/,"""OK (But still have to click on the """"Statistics"""" label)""",2019/7/25
CL,680,0,1514,PIT Santiago - PIT Chile,Santiago,South America,2016-11-11T11:54:40Z,http://www.pitchile.cl,http://www.pitchile.cl/wp/?page_id=37,OK,2019/7/25
PL,540,0,1516,IX.LODZ.PL,??¨®d??,Europe,2016-11-13T17:51:15Z,http://ix.lodz.pl,http://ix.lodz.pl/statystyki/,OK,2019/7/25
